"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2018","7,434.73","7,522.59","7,533.92","7,427.79","149.27M","-1.47%"
"09/14/2018","7,545.50","7,575.38","7,581.30","7,515.04","140.52M","-0.21%"
"09/13/2018","7,561.69","7,535.23","7,578.76","7,531.66","160.62M","0.98%"
"09/12/2018","7,488.06","7,493.38","7,501.24","7,422.91","176.59M","-0.26%"
"09/11/2018","7,507.87","7,415.09","7,519.45","7,401.72","157.89M","0.81%"
"09/10/2018","7,447.68","7,466.76","7,473.75","7,410.74","155.28M","0.23%"
"09/07/2018","7,430.26","7,402.19","7,489.40","7,400.99","178.47M","-0.31%"
"09/06/2018","7,453.17","7,527.22","7,532.30","7,405.32","182.85M","-0.93%"
"09/05/2018","7,523.26","7,600.95","7,607.18","7,498.38","197.38M","-1.30%"
"09/04/2018","7,622.32","7,629.34","7,643.45","7,581.35","165.09M","-0.42%"
"08/31/2018","7,654.55","7,634.44","7,676.46","7,628.54","170.08M","0.16%"
"08/30/2018","7,642.67","7,645.11","7,691.10","7,619.73","138.40M","-0.23%"
"08/29/2018","7,660.18","7,585.13","7,661.95","7,583.52","127.26M","1.19%"
"08/28/2018","7,570.25","7,580.85","7,588.72","7,556.71","130.92M","0.15%"
"08/27/2018","7,559.13","7,527.37","7,560.76","7,512.02","130.11M","0.98%"
"08/24/2018","7,485.40","7,443.71","7,489.54","7,442.99","126.50M","0.97%"
"08/23/2018","7,413.84","7,420.31","7,465.87","7,405.40","131.43M","-0.14%"
"08/22/2018","7,424.60","7,379.84","7,434.48","7,374.69","114.59M","0.37%"
"08/21/2018","7,397.23","7,393.46","7,441.42","7,388.38","142.34M","0.35%"
"08/20/2018","7,371.42","7,393.57","7,395.75","7,343.47","141.46M","-0.08%"
"08/17/2018","7,377.54","7,352.63","7,394.94","7,312.65","177.01M","0.04%"
"08/16/2018","7,374.30","7,409.61","7,422.83","7,361.88","168.14M","0.27%"
"08/15/2018","7,354.66","7,385.67","7,409.48","7,308.52","190.30M","-1.24%"
"08/14/2018","7,447.17","7,430.45","7,455.42","7,390.00","134.44M","0.62%"
"08/13/2018","7,401.17","7,420.18","7,468.82","7,398.53","129.62M","-0.10%"
"08/10/2018","7,408.30","7,409.05","7,436.69","7,382.83","139.31M","-0.79%"
"08/09/2018","7,466.96","7,467.51","7,498.37","7,458.56","133.85M","-0.03%"
"08/08/2018","7,469.55","7,454.42","7,486.21","7,435.77","124.92M","0.09%"
"08/07/2018","7,462.65","7,459.32","7,478.96","7,443.88","146.62M","0.32%"
"08/06/2018","7,438.99","7,390.81","7,439.55","7,381.58","142.43M","0.59%"
"08/03/2018","7,395.49","7,389.36","7,395.49","7,356.33","147.40M","0.32%"
"08/02/2018","7,372.15","7,221.35","7,380.56","7,221.35","169.47M","1.36%"
"08/01/2018","7,272.89","7,269.20","7,294.80","7,234.64","178.96M","0.57%"
"07/31/2018","7,231.98","7,219.67","7,272.96","7,179.41","191.39M","0.54%"
"07/30/2018","7,193.10","7,292.72","7,299.07","7,158.78","173.64M","-1.42%"
"07/27/2018","7,296.78","7,443.24","7,443.24","7,255.32","190.70M","-1.40%"
"07/26/2018","7,400.75","7,404.56","7,430.11","7,385.72","217.54M","-1.44%"
"07/25/2018","7,508.59","7,406.10","7,511.39","7,405.64","171.18M","1.38%"
"07/24/2018","7,406.25","7,455.51","7,475.99","7,375.74","154.42M","0.47%"
"07/23/2018","7,371.78","7,335.42","7,376.82","7,301.34","134.46M","0.29%"
"07/20/2018","7,350.23","7,379.13","7,398.59","7,343.37","179.35M","-0.03%"
"07/19/2018","7,352.36","7,364.66","7,388.99","7,344.33","159.59M","-0.51%"
"07/18/2018","7,390.13","7,407.25","7,411.24","7,368.36","145.78M","-0.19%"
